r,tau,v
0.49,0.2,0.21438434931183004
0.5,0.2,0.21666480353009376
0.51,0.2,0.21882418352007027
0.52,0.2,0.22086083573463153
0.53,0.2,0.22277317738393235
0.54,0.2,0.2245597003230643
0.55,0.2,0.2262189750763479
0.56,0.2,0.22774965499653213
0.5700000000000001,0.2,0.22915048055625825
0.58,0.2,0.23042028376811954
0.59,0.2,0.23155799272851427
0.6,0.2,0.2325626362791925
0.61,0.2,0.2334333487789551
0.62,0.2,0.23416937497637907
0.63,0.2,0.23477007497267133
0.64,0.2,0.23523492926182105
0.65,0.2,0.23556354383309575
0.66,0.2,0.2357556553186215
0.67,0.2,0.23581113616632823
